Location,ATP,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,B365W,B365L,B&WW,B&WL,EXW,EXL,PSW,PSL,WPts,LPts,UBW,UBL,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Boutter J.,Golmard J.,67,59,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.65,2.15,1.5,2.0,1.45,2.25,1.57,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Bruguera S.,Levy H.,80,61,3.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.2,1.6,2.2,1.47,1.9,1.5,2.2,1.62,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Federer R.,Schuettler R.,27,48,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,2.7,1.4,2.4,1.4,2.1,1.4,2.75,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Gambill J.M.,Schalken S.,30,28,6.0,1.0,6.0,7.0,6.0,2.0,,,,,2.0,1.0,Completed,1.75,1.95,1.57,2.0,1.6,1.8,1.62,2.2,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Heuberger I.,Dosedel S.,190,87,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.25,1.55,1.95,1.6,1.85,1.55,,,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Ivanisevic G.,Kiefer N.,123,33,2.0,6.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,3.5,1.25,2.6,1.35,2.4,1.3,2.88,1.36,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Kafelnikov Y.,Tarango J.,7,111,4.0,6.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,,,1.2,3.35,1.2,2.8,,,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Malisse X.,Gaudenzi A.,124,103,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,,,1.7,1.8,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Medvedev A.,Pavel A.,58,23,7.0,6.0,2.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.4,1.5,2.1,1.5,1.9,1.5,2.25,1.57,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Rosset M.,Ljubicic I.,29,90,4.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.45,2.5,1.47,2.2,1.5,1.9,1.62,2.2,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Rusedski G.,Pozzi G.,52,40,6.0,1.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.33,3.0,1.35,2.55,1.3,2.4,1.25,3.5,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Safin M.,Prinosil D.,1,32,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.33,3.0,1.25,3.0,1.2,2.8,1.25,3.5,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Santoro F.,Hrbaty D.,41,14,3.0,6.0,7.0,5.0,6.0,3.0,,,,,2.0,1.0,Completed,2.2,1.6,2.1,1.5,2.0,1.45,2.38,1.53,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Saulnier C.,Sanguinetti D.,120,71,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.8,1.9,1.95,1.6,1.85,1.55,,,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Ulihrach B.,Escude N.,53,56,7.0,5.0,6.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,2.25,1.55,2.1,1.51,1.85,1.55,2.2,1.62,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,1st Round,3,Voltchkov V.,Vanek J.,36,83,6.0,4.0,1.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.45,2.5,1.4,2.4,1.4,2.1,,,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,2nd Round,3,Boutter J.,Santoro F.,67,41,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.4,1.5,2.15,1.47,2.0,1.45,2.5,1.5,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,2nd Round,3,Federer R.,Saulnier C.,27,120,2.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.28,3.25,1.25,3.0,1.3,2.4,1.22,3.75,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,2nd Round,3,Gambill J.M.,Bruguera S.,30,80,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.36,2.85,1.4,2.4,1.4,2.1,1.33,3.0,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,2nd Round,3,Ivanisevic G.,Ulihrach B.,123,53,,,,,,,,,,,0.0,0.0,Walkover,2.0,1.72,1.9,1.65,1.7,1.7,1.91,1.8,,,,,,,,,,,,,,,,,,,,
Milan,8,Milan Indoors,29/01/2001,International,Indoor,Carpet,2nd Round,3,Kafelnikov Y.,Heuberger I.,7,190,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.2,4.0,1.15,3.8,1.15,3.0,1.2,4.0,,,,,,,,,,,,,,,,,,,,
